imdb_title_id,mean_vote
tt0016123,6.4
tt0016142,6.7
tt0016185,7.1
tt0016201,6.2
tt0016205,7.2
tt0016220,7.7
tt0016226,6.3
tt0016230,6.1
tt0016232,7.0
tt0016240,6.8
tt0016241,3.4
tt0016258,7.3
tt0016276,6.6
tt0016288,6.6
tt0016294,6.7
tt0016308,6.8
tt0016309,4.2
tt0016310,6.7
tt0016332,7.8
tt0016338,6.2
tt0016377,7.0
tt0016392,6.4
tt0016394,8.0
tt0016395,7.4
tt0016461,7.0
tt0016473,7.3
tt0016480,7.0
tt0016481,7.5
tt0016491,7.4
tt0016493,6.9
tt0016544,5.4
tt0016545,5.9
tt0016548,7.2
tt0016559,7.0
tt0016560,8.3
tt0016563,6.9
tt0016627,7.7
tt0016629,6.7
tt0016630,7.1
tt0016634,7.2
tt0016640,6.6
tt0016643,6.5
tt0016646,8.3
tt0016654,7.1
tt0016655,6.9
tt0016664,5.6
tt0016669,7.9
tt0016672,5.2
tt0016690,8.2
tt0016691,6.8
tt0016762,7.0
tt0016804,7.2
tt0016822,7.9
tt0016827,7.3
tt0016832,7.2
tt0016847,7.8
tt0016854,6.6
tt0016871,8.0
tt0016884,8.0
tt0016895,7.5
tt0016914,6.9
tt0016939,6.5
tt0016947,7.0
tt0016953,6.7
tt0016971,6.3
tt0017004,6.6
tt0017028,7.0
tt0017029,7.3
tt0017048,7.5
tt0017075,7.4
tt0017082,7.2
tt0017096,6.8
tt0017103,6.8
tt0017119,7.1
tt0017120,7.1
tt0017128,7.6
tt0017136,8.1
tt0017159,7.0
tt0017184,6.0
tt0017195,7.1
tt0017196,6.9
tt0017198,7.4
tt0017226,6.9
tt0017271,7.3
tt0017293,7.2
tt0017329,7.0
tt0017338,6.3
tt0017350,7.7
tt0017354,6.7
tt0017374,5.8
tt0017378,6.8
tt0017382,7.1
tt0017409,7.3
tt0017410,6.7
tt0017416,7.4
tt0017419,7.2
tt0017423,7.5
tt0017437,6.8
tt0017438,7.2
tt0017448,7.2
tt0017449,7.0
tt0017463,7.5
tt0017480,7.1
tt0017483,6.1
tt0017519,6.8
tt0017534,7.9
tt0017540,7.2
tt0017567,7.3
tt0017619,7.4
tt0017621,6.3
tt0017632,7.5
tt0017653,7.2
tt0017662,7.2
tt0017667,7.5
tt0017726,6.7
tt0017735,7.4
tt0017736,7.1
tt0017739,7.2
tt0017750,7.3
tt0017751,6.7
tt0017765,7.1
tt0017809,7.3
tt0017825,6.2
tt0017832,6.9
tt0017843,5.7
tt0017860,8.1
tt0017886,6.5
tt0017918,7.2
tt0017925,8.0
tt0017928,6.8
tt0017938,7.1
tt0017961,7.5
tt0017998,7.4
tt0018014,6.9
tt0018016,6.7
tt0018033,7.5
tt0018037,6.8
tt0018045,7.0
tt0018051,7.5
tt0018054,7.4
tt0018066,7.4
tt0018087,7.5
tt0018097,7.1
tt0018102,6.5
tt0018107,7.4
tt0018113,7.9
tt0018138,7.8
tt0018166,7.0
tt0018179,6.7
tt0018183,7.6
tt0018192,7.4
tt0018217,7.4
tt0018218,6.5
tt0018235,7.0
tt0018247,6.7
tt0018253,7.6
tt0018268,6.4
tt0018297,8.0
tt0018311,8.0
tt0018328,6.2
tt0018351,7.1
tt0018362,6.2
tt0018379,7.6
tt0018389,5.7
tt0018392,7.2
tt0018397,7.0
tt0018413,7.8
tt0018440,7.7
tt0018451,7.8
tt0018453,6.5
tt0018455,7.9
tt0018464,5.4
tt0018471,7.9
tt0018484,6.7
tt0018487,8.0
tt0018505,7.4
tt0018513,7.7
tt0018515,6.8
tt0018523,6.9
tt0018524,6.9
tt0018526,7.5
tt0018528,7.6
tt0018530,6.3
tt0018566,7.2
tt0018578,7.7
tt0018579,3.2
tt0018588,6.8
tt0018600,6.4
tt0018615,7.1
tt0018618,7.3
tt0018678,6.7
tt0018684,7.7
tt0018722,7.2
tt0018737,7.8
tt0018742,8.1
tt0018749,8.1
tt0018756,5.7
tt0018770,7.3
tt0018773,7.9
tt0018795,7.8
tt0018826,7.0
tt0018836,7.2
tt0018839,7.6
tt0018841,7.4
tt0018862,6.8
tt0018876,6.1
tt0018879,6.0
tt0018882,7.0
tt0018907,7.1
tt0018908,7.1
tt0018909,7.1
tt0018910,7.0
tt0018927,7.0
tt0018935,6.8
tt0018937,6.7
tt0018972,6.6
tt0018990,7.1
tt0018996,6.2
tt0019043,7.1
tt0019067,7.1
tt0019071,7.8
tt0019074,7.6
tt0019096,7.1
tt0019098,7.9
tt0019109,7.9
tt0019127,7.0
tt0019130,7.7
tt0019151,6.9
tt0019152,6.9
tt0019182,5.6
tt0019186,6.7
tt0019195,7.3
tt0019237,7.3
tt0019254,7.8
tt0019258,8.1
tt0019286,7.2
tt0019290,6.5
tt0019304,6.9
tt0019312,6.9
tt0019325,6.0
tt0019335,3.3
tt0019344,7.9
tt0019374,7.0
tt0019379,8.1
